Genome,File_type,Sequence_type,Number_of_sequences,Size,min,mean,max
GCA_003142035.1,FASTA,Protein,2529,765610,20,302.7,2139
GCA_003142075.1,FASTA,Protein,758,209238,20,276,1725
GCA_003142095.1,FASTA,Protein,2653,790285,26,297.9,1471
GCA_003142185.1,FASTA,Protein,5103,1710315,24,335.2,3165
GCA_003142215.1,FASTA,Protein,3431,1048250,20,305.5,3178
GCA_003142235.1,FASTA,Protein,2523,803818,22,318.6,2586
GCA_003142255.1,FASTA,Protein,3025,1134343,30,375,2479
GCA_003142295.1,FASTA,Protein,3430,944785,20,275.4,1806
GCA_003142355.1,FASTA,Protein,6508,1963657,20,301.7,3020
GCA_003142375.1,FASTA,Protein,2151,646476,22,300.5,2918
GCA_003142435.1,FASTA,Protein,1450,440123,20,303.5,2812
GCA_003142475.1,FASTA,Protein,3149,1065835,20,338.5,2898
GCA_003142495.1,FASTA,Protein,3280,995409,20,303.5,2679
GCA_003142515.1,FASTA,Protein,2619,866894,22,331,3362
GCA_003142535.1,FASTA,Protein,2804,848467,23,302.6,2921
GCA_003142575.1,FASTA,Protein,3056,980739,20,320.9,3299
GCA_003142595.1,FASTA,Protein,2097,687113,31,327.7,2911
GCA_003142615.1,FASTA,Protein,3279,1094790,21,333.9,2909
GCA_003142635.1,FASTA,Protein,3585,1003127,23,279.8,2918
GCA_003142755.1,FASTA,Protein,2878,889411,20,309,2105
GCA_003142795.1,FASTA,Protein,1902,612444,22,322,10512
GCA_003142815.1,FASTA,Protein,3016,936236,23,310.4,2840
GCA_003142835.1,FASTA,Protein,2603,715655,22,274.9,1862
GCA_003142855.1,FASTA,Protein,5343,1809010,20,338.6,3742
GCA_003142915.1,FASTA,Protein,3536,1016594,21,287.5,2419
GCA_003142935.1,FASTA,Protein,4654,1480418,21,318.1,2606
GCA_003142955.1,FASTA,Protein,3796,1244759,21,327.9,9555
GCA_003144015.1,FASTA,Protein,2937,973595,26,331.5,3217
GCA_003148945.1,FASTA,Protein,4870,1727667,25,354.8,4492
GCA_003149065.1,FASTA,Protein,2722,933154,30,342.8,4090
GCA_003149345.1,FASTA,Protein,2755,849009,30,308.2,1673
GCA_003149375.1,FASTA,Protein,2520,799606,20,317.3,1670
GCA_003149555.1,FASTA,Protein,1555,481755,23,309.8,3995
GCA_003149565.1,FASTA,Protein,4381,1320448,20,301.4,4654
GCA_003149575.1,FASTA,Protein,2495,754082,22,302.2,3995
GCA_003149635.1,FASTA,Protein,3283,1103977,33,336.3,2462
GCA_003149735.1,FASTA,Protein,1567,457277,25,291.8,1684
GCA_003149835.1,FASTA,Protein,1925,607421,23,315.5,3022
GCA_003149915.1,FASTA,Protein,1405,433302,23,308.4,2665
GCA_003149935.1,FASTA,Protein,1889,660250,30,349.5,14994
GCA_003150035.1,FASTA,Protein,1752,554743,24,316.6,3190
GCA_003150135.1,FASTA,Protein,1755,624358,23,355.8,3843
GCA_003150175.1,FASTA,Protein,1879,601164,21,319.9,2365
GCA_003150225.1,FASTA,Protein,1463,433468,23,296.3,2514
GCA_003150235.1,FASTA,Protein,2987,1051087,26,351.9,2484
GCA_003150275.1,FASTA,Protein,3315,1103871,20,333,3342
GCA_003150315.1,FASTA,Protein,2518,785141,20,311.8,3179
GCA_003150355.1,FASTA,Protein,1953,595589,31,305,3242
GCA_003150395.1,FASTA,Protein,2153,610854,24,283.7,1836
GCA_003150405.1,FASTA,Protein,1709,519439,31,303.9,3406
GCA_003150485.1,FASTA,Protein,1172,368469,31,314.4,1517
GCA_003150515.1,FASTA,Protein,1567,503340,32,321.2,2734
GCA_003150615.1,FASTA,Protein,1913,604323,31,315.9,2173
GCA_003150755.1,FASTA,Protein,2327,718845,30,308.9,5812
GCA_003151115.1,FASTA,Protein,2564,801722,30,312.7,1919
GCA_003151155.1,FASTA,Protein,5506,1663737,21,302.2,2867
GCA_003151215.1,FASTA,Protein,3647,992398,20,272.1,1928
GCA_003151235.1,FASTA,Protein,3526,1049538,30,297.7,1783
GCA_003151275.1,FASTA,Protein,7606,2421633,23,318.4,3741
GCA_003151295.1,FASTA,Protein,4685,1290848,20,275.5,2251
GCA_003151315.1,FASTA,Protein,1859,552283,22,297.1,3623
GCA_003151335.1,FASTA,Protein,4269,1320314,20,309.3,2960
GCA_003151375.1,FASTA,Protein,3040,795752,20,261.8,2570
GCA_003151395.1,FASTA,Protein,1886,581619,28,308.4,4360
GCA_003151415.1,FASTA,Protein,3965,1274192,20,321.4,3314
GCA_003151425.1,FASTA,Protein,7583,2189850,20,288.8,2983
GCA_003151435.1,FASTA,Protein,5114,1704447,20,333.3,3452
GCA_003151475.1,FASTA,Protein,4388,1334101,30,304,2986
GCA_003151495.1,FASTA,Protein,3623,1249736,21,344.9,4205
GCA_003151515.1,FASTA,Protein,3052,1095873,30,359.1,2894
GCA_003151555.1,FASTA,Protein,2507,671491,20,267.8,1490
GCA_003151595.1,FASTA,Protein,6666,2331594,20,349.8,4039
GCA_003151615.1,FASTA,Protein,993,278220,26,280.2,1703
GCA_003151625.1,FASTA,Protein,1592,429751,25,269.9,1906
GCA_003151655.1,FASTA,Protein,3782,997268,21,263.7,2864
GCA_003151665.1,FASTA,Protein,3811,1013116,23,265.8,1644
GCA_003151745.1,FASTA,Protein,4445,1341113,20,301.7,6237
GCA_003151775.1,FASTA,Protein,2912,856018,20,294,2650
GCA_003151795.1,FASTA,Protein,838,227132,28,271,1859
GCA_003151815.1,FASTA,Protein,2323,750272,27,323,2636
GCA_003151825.1,FASTA,Protein,3235,1089890,24,336.9,3146
GCA_003151855.1,FASTA,Protein,3619,1142423,20,315.7,4361
GCA_003151875.1,FASTA,Protein,3812,1067419,22,280,2940
GCA_003151895.1,FASTA,Protein,3155,866919,20,274.8,1548
GCA_003151935.1,FASTA,Protein,3155,898883,22,284.9,1505
GCA_003151955.1,FASTA,Protein,4427,1391032,25,314.2,5372
GCA_003151975.1,FASTA,Protein,4236,1472746,24,347.7,14134
GCA_003151985.1,FASTA,Protein,5490,1738613,20,316.7,3334
GCA_003152015.1,FASTA,Protein,3622,1049779,28,289.8,1638
GCA_003152055.1,FASTA,Protein,5494,1595623,21,290.4,2881
GCA_003152075.1,FASTA,Protein,3795,1218796,25,321.2,4328
GCA_003152095.1,FASTA,Protein,3500,1122404,22,320.7,2091
GCA_003152105.1,FASTA,Protein,1244,374028,35,300.7,3785
GCA_003152145.1,FASTA,Protein,4128,1146660,20,277.8,2926
GCA_003152165.1,FASTA,Protein,3741,1055704,20,282.2,1552
GCA_003152195.1,FASTA,Protein,6581,1951742,20,296.6,2001
GCA_003152215.1,FASTA,Protein,2757,799939,20,290.1,1728
GCA_003152225.1,FASTA,Protein,7367,2420722,20,328.6,3783
GCA_003152255.1,FASTA,Protein,6700,1643400,21,245.3,2043
GCA_003152275.1,FASTA,Protein,3555,1008453,21,283.7,12167
GCA_003152315.1,FASTA,Protein,4486,1457610,24,324.9,3815
GCA_003152325.1,FASTA,Protein,5608,1793234,20,319.8,1792
GCA_003152355.1,FASTA,Protein,4357,1337162,20,306.9,2201
GCA_003152415.1,FASTA,Protein,4073,1239023,20,304.2,1779
GCA_003152455.1,FASTA,Protein,5003,1339825,20,267.8,2844
GCA_003152485.1,FASTA,Protein,3909,1270503,27,325,3083
GCA_003152555.1,FASTA,Protein,2702,709940,23,262.7,2277
GCA_003152595.1,FASTA,Protein,5125,1519374,21,296.5,1977
GCA_003152695.1,FASTA,Protein,4156,1288881,20,310.1,2960
GCA_003152795.1,FASTA,Protein,4763,1356702,20,284.8,1916
GCA_003152835.1,FASTA,Protein,3036,1002220,22,330.1,1844
GCA_003152875.1,FASTA,Protein,3473,1168991,20,336.6,2607
GCA_003152975.1,FASTA,Protein,3048,974118,20,319.6,3197
GCA_003152995.1,FASTA,Protein,2783,901821,20,324,3909
GCA_003153015.1,FASTA,Protein,5259,1755626,20,333.8,3743
GCA_003153035.1,FASTA,Protein,3584,1175275,23,327.9,2790
GCA_003153055.1,FASTA,Protein,8533,2792003,20,327.2,4368
GCA_003153075.1,FASTA,Protein,2987,774334,20,259.2,2232
GCA_003153125.1,FASTA,Protein,3125,901638,20,288.5,1947
GCA_003153155.1,FASTA,Protein,2756,806341,25,292.6,1962
GCA_003153195.1,FASTA,Protein,5689,1694879,20,297.9,4342
GCA_003153215.1,FASTA,Protein,2654,693518,20,261.3,1796
GCA_003153235.1,FASTA,Protein,2861,791861,20,276.8,1622
GCA_003153275.1,FASTA,Protein,2705,740640,20,273.8,3618
GCA_003153295.1,FASTA,Protein,2102,696569,35,331.4,2466
GCA_003153315.1,FASTA,Protein,3746,1257612,22,335.7,4975
GCA_003153335.1,FASTA,Protein,5369,1421055,20,264.7,2615
GCA_003153355.1,FASTA,Protein,1318,451994,30,342.9,5610
GCA_003153375.1,FASTA,Protein,5583,1900637,20,340.4,5814
GCA_003153395.1,FASTA,Protein,977,282151,33,288.8,1294
GCA_003153415.1,FASTA,Protein,5970,1692511,21,283.5,4097
GCA_003153435.1,FASTA,Protein,3489,1233254,20,353.5,4131
GCA_003153455.1,FASTA,Protein,7376,1932446,20,262,1752
GCA_003153475.1,FASTA,Protein,3170,993383,22,313.4,2960
GCA_003153495.1,FASTA,Protein,4589,1425956,20,310.7,6100
GCA_003153505.1,FASTA,Protein,3999,1173444,25,293.4,1942
GCA_003153555.1,FASTA,Protein,7365,2272316,20,308.5,5702
GCA_003153575.1,FASTA,Protein,2798,901339,22,322.1,4027
GCA_003153585.1,FASTA,Protein,3401,971499,20,285.7,2933
GCA_003153655.1,FASTA,Protein,4810,1390849,20,289.2,2604
GCA_003153755.1,FASTA,Protein,3192,978221,22,306.5,3932
GCA_003153775.1,FASTA,Protein,3116,915392,25,293.8,1941
GCA_003153855.1,FASTA,Protein,3840,1087812,20,283.3,5268
GCA_003153875.1,FASTA,Protein,5480,1674514,20,305.6,2649
GCA_003153915.1,FASTA,Protein,2556,774553,22,303,2525
GCA_003153935.1,FASTA,Protein,1709,557572,28,326.3,4091
GCA_003153955.1,FASTA,Protein,2135,590188,21,276.4,1664
GCA_003153975.1,FASTA,Protein,4684,1312523,20,280.2,3736
GCA_003154025.1,FASTA,Protein,5927,1581797,20,266.9,1708
GCA_003154055.1,FASTA,Protein,3933,1145048,22,291.1,1402
GCA_003154095.1,FASTA,Protein,8717,2546273,20,292.1,3178
GCA_003154115.1,FASTA,Protein,7124,2270029,20,318.6,6417
GCA_003154135.1,FASTA,Protein,3878,1077408,20,277.8,2541
GCA_003154155.1,FASTA,Protein,3913,1303209,20,333,3065
GCA_003154195.1,FASTA,Protein,2300,718917,20,312.6,3229
GCA_003154255.1,FASTA,Protein,3424,1037218,21,302.9,1651
GCA_003154375.1,FASTA,Protein,1505,464063,20,308.3,6576
GCA_003154425.1,FASTA,Protein,3650,1186008,23,324.9,3286
GCA_003154555.1,FASTA,Protein,3641,1070739,20,294.1,1858
GCA_003154635.1,FASTA,Protein,3078,888107,21,288.5,4377
GCA_003154775.1,FASTA,Protein,4101,1318465,23,321.5,3629
GCA_003154855.1,FASTA,Protein,4700,1352402,20,287.7,2844
GCA_003155135.1,FASTA,Protein,3001,948302,24,316,2682
GCA_003155175.1,FASTA,Protein,2614,764330,22,292.4,1718
GCA_003155275.1,FASTA,Protein,2320,621048,22,267.7,1218
GCA_003155335.1,FASTA,Protein,2966,797242,22,268.8,2645
GCA_003155415.1,FASTA,Protein,3957,1190088,20,300.8,1986
GCA_003155465.1,FASTA,Protein,5136,1655212,20,322.3,4364
GCA_003155495.1,FASTA,Protein,3305,1054067,24,318.9,2868
GCA_003155565.1,FASTA,Protein,3553,863034,20,242.9,2925
GCA_003155655.1,FASTA,Protein,4040,1354097,24,335.2,3135
GCA_003155695.1,FASTA,Protein,785,235279,32,299.7,1764
GCA_003155705.1,FASTA,Protein,3124,960392,20,307.4,2467
GCA_003155795.1,FASTA,Protein,3710,1225338,22,330.3,2788
GCA_003155915.1,FASTA,Protein,2497,759067,22,304,2927
GCA_003156235.1,FASTA,Protein,4358,1248098,20,286.4,2666
GCA_003156495.1,FASTA,Protein,2726,806219,20,295.8,3801
GCA_003156595.1,FASTA,Protein,4180,1235947,20,295.7,2006
GCA_003156635.1,FASTA,Protein,4025,1227541,20,305,1768
GCA_003156695.1,FASTA,Protein,3422,920421,20,269,2325
GCA_003156715.1,FASTA,Protein,3798,1206740,21,317.7,2640
GCA_003156795.1,FASTA,Protein,4814,1351869,20,280.8,1750
GCA_003156805.1,FASTA,Protein,4469,1458536,23,326.4,5437
GCA_003156975.1,FASTA,Protein,2603,827285,22,317.8,4310
GCA_003157015.1,FASTA,Protein,4524,1518136,20,335.6,3690
GCA_003157035.1,FASTA,Protein,3836,1103691,21,287.7,2888
GCA_003157055.1,FASTA,Protein,2687,827686,20,308,1472
GCA_003157075.1,FASTA,Protein,4321,1413066,21,327,2473
GCA_003157095.1,FASTA,Protein,2766,802831,20,290.2,2296
GCA_003157175.1,FASTA,Protein,2480,687115,20,277.1,1883
GCA_003157195.1,FASTA,Protein,899,225846,22,251.2,1072
GCA_003157225.1,FASTA,Protein,3891,1055883,20,271.4,1803
GCA_003157295.1,FASTA,Protein,1094,308939,28,282.4,1559
GCA_003157315.1,FASTA,Protein,4674,1361162,20,291.2,2357
GCA_003157385.1,FASTA,Protein,2495,776152,23,311.1,2115
GCA_003157445.1,FASTA,Protein,4482,1056761,20,235.8,1813
GCA_003157485.1,FASTA,Protein,3749,1261178,23,336.4,3071
GCA_003157575.1,FASTA,Protein,3915,1170719,20,299,5263
GCA_003157595.1,FASTA,Protein,3259,866735,20,266,1350
GCA_003157675.1,FASTA,Protein,3373,996612,20,295.5,1730
GCA_003157715.1,FASTA,Protein,3371,1008884,21,299.3,2764
GCA_003157745.1,FASTA,Protein,5357,1721580,21,321.4,2825
GCA_003157775.1,FASTA,Protein,5139,1647191,20,320.5,3743
GCA_003157875.1,FASTA,Protein,2947,909086,21,308.5,2082
GCA_003157945.1,FASTA,Protein,3284,874042,20,266.2,1485
GCA_003158175.1,FASTA,Protein,3211,977357,21,304.4,1893
GCA_003158195.1,FASTA,Protein,4126,1233697,21,299,2582
GCA_003158255.1,FASTA,Protein,3740,1054094,22,281.8,2484
GCA_003158295.1,FASTA,Protein,2534,806078,28,318.1,3190
GCA_003158355.1,FASTA,Protein,2866,801854,20,279.8,2457
GCA_003158365.1,FASTA,Protein,2878,905559,21,314.6,1857
GCA_003158395.1,FASTA,Protein,5084,1593452,21,313.4,3462
GCA_003158415.1,FASTA,Protein,3413,905892,20,265.4,3401
GCA_003158455.1,FASTA,Protein,5745,1902854,20,331.2,3743
GCA_003158475.1,FASTA,Protein,3330,1142426,22,343.1,3058
GCA_003158495.1,FASTA,Protein,3338,953549,20,285.7,2137
GCA_003158505.1,FASTA,Protein,3240,986881,21,304.6,2100
GCA_003158585.1,FASTA,Protein,3151,921392,22,292.4,2452
GCA_003158675.1,FASTA,Protein,2580,827522,22,320.7,2760
GCA_003158705.1,FASTA,Protein,2092,581470,20,277.9,2337
GCA_003158735.1,FASTA,Protein,5884,1948252,20,331.1,3743
GCA_003158745.1,FASTA,Protein,3306,1106529,20,334.7,2741
GCA_003158755.1,FASTA,Protein,2325,821954,21,353.5,6519
GCA_003158835.1,FASTA,Protein,4033,1091354,20,270.6,3373
GCA_003158855.1,FASTA,Protein,2664,801682,20,300.9,1737
GCA_003158875.1,FASTA,Protein,2473,791475,20,320,4328
GCA_003158885.1,FASTA,Protein,3273,897870,21,274.3,2055
GCA_003158895.1,FASTA,Protein,3792,1062001,21,280.1,3895
GCA_003159055.1,FASTA,Protein,4891,1489968,20,304.6,2699
GCA_003159355.1,FASTA,Protein,3593,1030098,20,286.7,2675
GCA_003159495.1,FASTA,Protein,2899,926458,20,319.6,5094
GCA_003159675.1,FASTA,Protein,3672,1205280,20,328.2,3444
GCA_003159795.1,FASTA,Protein,1951,610670,25,313,1520
GCA_003160115.1,FASTA,Protein,1984,582036,27,293.4,1321
GCA_003160215.1,FASTA,Protein,5258,1491782,22,283.7,1886
GCA_003160265.1,FASTA,Protein,1822,507802,22,278.7,1592
GCA_003160635.1,FASTA,Protein,7089,1996725,21,281.7,2056
GCA_003161045.1,FASTA,Protein,2471,760808,22,307.9,1575
GCA_003161195.1,FASTA,Protein,4084,1255942,20,307.5,1934
GCA_003161205.1,FASTA,Protein,5751,1455451,20,253.1,1517
GCA_003161255.1,FASTA,Protein,2996,892516,23,297.9,1717
GCA_003161435.1,FASTA,Protein,3770,1175370,21,311.8,3329
GCA_003161495.1,FASTA,Protein,4053,1127868,20,278.3,2937
GCA_003161515.1,FASTA,Protein,4430,1199342,20,270.7,2900
GCA_003161535.1,FASTA,Protein,2164,572928,20,264.8,2074
GCA_003161555.1,FASTA,Protein,3202,907456,20,283.4,1873
GCA_003161575.1,FASTA,Protein,3362,1038787,21,309,2238
GCA_003161615.1,FASTA,Protein,2535,731614,26,288.6,3363
GCA_003161635.1,FASTA,Protein,4013,1259766,23,313.9,4112
GCA_003161755.1,FASTA,Protein,4198,1010824,22,240.8,1374
GCA_003161835.1,FASTA,Protein,5178,1385353,20,267.5,3262
GCA_003161855.1,FASTA,Protein,2161,539096,20,249.5,1297
GCA_003161955.1,FASTA,Protein,3360,1075245,22,320,3126
GCA_003162055.1,FASTA,Protein,2112,636386,30,301.3,1948
GCA_003162215.1,FASTA,Protein,3604,1127960,23,313,2538
GCA_003162235.1,FASTA,Protein,2029,537854,23,265.1,1437
GCA_003162245.1,FASTA,Protein,3932,1393070,20,354.3,2696
GCA_003162255.1,FASTA,Protein,5978,1736656,20,290.5,2511
GCA_003162335.1,FASTA,Protein,2840,799036,21,281.4,2280
GCA_003162395.1,FASTA,Protein,2547,788485,22,309.6,1760
GCA_003162415.1,FASTA,Protein,3679,1108433,21,301.3,3070
GCA_003162425.1,FASTA,Protein,8065,2640026,20,327.3,4112
GCA_003162475.1,FASTA,Protein,2718,842785,30,310.1,2189
GCA_003162495.1,FASTA,Protein,2837,814974,20,287.3,1571
GCA_003162555.1,FASTA,Protein,3034,898761,20,296.2,3536
GCA_003162595.1,FASTA,Protein,3572,1095925,21,306.8,2480
GCA_003162635.1,FASTA,Protein,2799,941120,24,336.2,2968
GCA_003162695.1,FASTA,Protein,3044,992948,22,326.2,2318
GCA_003162875.1,FASTA,Protein,4452,1392360,23,312.7,4411
GCA_003162935.1,FASTA,Protein,3295,1061803,20,322.2,2647
GCA_003162995.1,FASTA,Protein,5054,1191582,20,235.8,1763
GCA_003163855.1,FASTA,Protein,5761,1955456,21,339.4,3916
GCA_003163875.1,FASTA,Protein,2339,671621,20,287.1,1663
GCA_003164035.1,FASTA,Protein,7148,2363025,22,330.6,3648
GCA_003164045.1,FASTA,Protein,5049,1578239,22,312.6,1887
GCA_003164095.1,FASTA,Protein,3518,1100739,20,312.9,2723
GCA_003164135.1,FASTA,Protein,4233,1321972,23,312.3,4040
GCA_003164155.1,FASTA,Protein,2842,936596,20,329.6,3821
GCA_003164215.1,FASTA,Protein,1100,300386,31,273.1,1977
GCA_003164275.1,FASTA,Protein,5150,1434136,20,278.5,1801
GCA_003164305.1,FASTA,Protein,7003,2032068,21,290.2,6204
GCA_003164335.1,FASTA,Protein,3224,1094094,20,339.4,2900
GCA_003164375.1,FASTA,Protein,4864,1333432,20,274.1,2595
GCA_003164455.1,FASTA,Protein,4194,1150657,20,274.4,3719
GCA_003164475.1,FASTA,Protein,3444,943628,20,274,1785
GCA_003164495.1,FASTA,Protein,5605,1664189,20,296.9,5291
GCA_003164595.1,FASTA,Protein,905,262010,31,289.5,1750
GCA_003164635.1,FASTA,Protein,4498,1395992,20,310.4,1762
GCA_003164655.1,FASTA,Protein,3384,1029867,22,304.3,1944
GCA_003164675.1,FASTA,Protein,3452,1049479,25,304,5088
GCA_003164715.1,FASTA,Protein,3191,1157673,27,362.8,2325
GCA_003164785.1,FASTA,Protein,5548,1767351,25,318.6,3539
GCA_003164825.1,FASTA,Protein,5110,1390516,20,272.1,2266
GCA_003164855.1,FASTA,Protein,5061,1530402,22,302.4,1963
GCA_003164895.1,FASTA,Protein,2968,1003139,20,338,4983
GCA_003164915.1,FASTA,Protein,3848,1090864,20,283.5,2562
GCA_003164925.1,FASTA,Protein,3372,1013836,23,300.7,2522
GCA_003164955.1,FASTA,Protein,6678,2016591,21,302,3905
GCA_003165005.1,FASTA,Protein,3643,1103306,20,302.9,2841
GCA_003165075.1,FASTA,Protein,4860,1640977,20,337.6,3670
GCA_003165095.1,FASTA,Protein,4395,1319848,20,300.3,3198
GCA_003165115.1,FASTA,Protein,4277,1147656,20,268.3,3375
GCA_003165135.1,FASTA,Protein,3190,865721,21,271.4,1431
GCA_003165155.1,FASTA,Protein,5453,1567426,20,287.4,2511
GCA_003165235.1,FASTA,Protein,7073,1963674,21,277.6,2628
GCA_003165275.1,FASTA,Protein,4909,1436104,22,292.5,3734
GCA_003165295.1,FASTA,Protein,3947,1207166,20,305.8,2582
GCA_003165315.1,FASTA,Protein,5284,1729806,21,327.4,2723
GCA_003165335.1,FASTA,Protein,5252,1539087,21,293,3313
GCA_003165355.1,FASTA,Protein,1435,390106,20,271.9,2471
GCA_003165415.1,FASTA,Protein,4520,1454175,20,321.7,5001
GCA_003165455.1,FASTA,Protein,4134,1193259,20,288.6,2006
GCA_003165465.1,FASTA,Protein,4045,1311257,23,324.2,7713
GCA_003165495.1,FASTA,Protein,3253,935331,21,287.5,1927
GCA_003165595.1,FASTA,Protein,4460,1578485,28,353.9,3765
GCA_003165615.1,FASTA,Protein,6029,1743493,20,289.2,1839
GCA_003165655.1,FASTA,Protein,4613,1249458,20,270.9,1459
GCA_003165675.1,FASTA,Protein,2316,685820,21,296.1,2081
GCA_003165795.1,FASTA,Protein,4646,1393719,20,300,1931
GCA_003165855.1,FASTA,Protein,4999,1414303,21,282.9,2459
GCA_003165895.1,FASTA,Protein,5363,1624131,20,302.8,3940
GCA_003165935.1,FASTA,Protein,4635,1375646,20,296.8,2960
GCA_003166025.1,FASTA,Protein,5068,1578138,20,311.4,2865
GCA_003166055.1,FASTA,Protein,5371,1544602,20,287.6,2906
GCA_003166375.1,FASTA,Protein,3856,1063527,20,275.8,1682
GCA_003166475.1,FASTA,Protein,7219,2245776,20,311.1,2656
GCA_003166795.1,FASTA,Protein,3628,1156073,23,318.7,2929
GCA_003166855.1,FASTA,Protein,6371,2008612,20,315.3,3056
GCA_003166865.1,FASTA,Protein,6384,2042915,22,320,3136
GCA_003166875.1,FASTA,Protein,7537,2417542,20,320.8,3023
GCA_003166915.1,FASTA,Protein,3652,1009875,21,276.5,1754
GCA_003166955.1,FASTA,Protein,4653,1573162,25,338.1,2961
GCA_003167015.1,FASTA,Protein,5492,1776270,20,323.4,2917
GCA_003167055.1,FASTA,Protein,3276,892346,21,272.4,1793
GCA_003167155.1,FASTA,Protein,3876,1135243,21,292.9,2776
GCA_003167215.1,FASTA,Protein,3389,1132380,26,334.1,2933
GCA_003167255.1,FASTA,Protein,6425,2181229,22,339.5,2031
GCA_003167305.1,FASTA,Protein,2434,711338,21,292.3,1489
GCA_003167365.1,FASTA,Protein,2972,953546,21,320.8,3801
GCA_003167415.1,FASTA,Protein,2644,801687,22,303.2,1900
GCA_003167475.1,FASTA,Protein,2645,817596,22,309.1,3180
GCA_003167495.1,FASTA,Protein,8791,2845470,20,323.7,2341
GCA_003167515.1,FASTA,Protein,4881,1463604,20,299.9,2945
GCA_003167555.1,FASTA,Protein,3852,1273486,30,330.6,4773
GCA_003168075.1,FASTA,Protein,3142,873526,20,278,1792
GCA_003168215.1,FASTA,Protein,4418,1346945,23,304.9,2827
GCA_003168235.1,FASTA,Protein,3848,1081129,21,281,1540
GCA_003168255.1,FASTA,Protein,6924,2071316,20,299.2,3149
GCA_003168265.1,FASTA,Protein,3882,1295802,30,333.8,3344
GCA_003168295.1,FASTA,Protein,8544,2375862,20,278.1,1527
GCA_003168315.1,FASTA,Protein,2606,783484,20,300.6,2322
GCA_003168335.1,FASTA,Protein,4471,1500559,22,335.6,3674
GCA_003168355.1,FASTA,Protein,5034,1538316,20,305.6,3299
GCA_003168375.1,FASTA,Protein,4311,1371175,30,318.1,1956
GCA_003169195.1,FASTA,Protein,7843,2385983,20,304.2,4724
GCA_003169235.1,FASTA,Protein,3845,1129334,20,293.7,2406
GCA_003169655.1,FASTA,Protein,3473,997759,22,287.3,1451
GCA_003169675.1,FASTA,Protein,3646,1070205,22,293.5,1984
GCA_003169695.1,FASTA,Protein,4024,1225605,23,304.6,2973
GCA_003169715.1,FASTA,Protein,4449,1278232,20,287.3,1986
GCA_003169735.1,FASTA,Protein,2931,935014,21,319,2873
GCA_003169835.1,FASTA,Protein,3224,971956,24,301.5,2229
GCA_003169845.1,FASTA,Protein,3636,1133431,30,311.7,11607
GCA_003169895.1,FASTA,Protein,3060,1050196,30,343.2,2907
GCA_003169975.1,FASTA,Protein,4281,1318661,23,308,3059
GCA_003170035.1,FASTA,Protein,5032,1543654,20,306.8,2607
GCA_003170085.1,FASTA,Protein,3704,1309946,21,353.7,3153
GCA_003170115.1,FASTA,Protein,4242,1249842,21,294.6,1900
GCA_003170135.1,FASTA,Protein,5083,1724346,20,339.2,2900
GCA_003170155.1,FASTA,Protein,2132,613736,21,287.9,1895
GCA_003170275.1,FASTA,Protein,7575,2561991,20,338.2,4618
GCA_003170295.1,FASTA,Protein,5935,1878257,23,316.5,2924
GCA_003170315.1,FASTA,Protein,2366,714478,20,302,1619
GCA_003170325.1,FASTA,Protein,934,255431,21,273.5,1719
GCA_003170375.1,FASTA,Protein,2022,584117,20,288.9,1550
GCA_003170415.1,FASTA,Protein,2349,789254,23,336,3626
GCA_003170475.1,FASTA,Protein,3491,1230255,22,352.4,2291
GCA_003170555.1,FASTA,Protein,4324,1406269,20,325.2,2590
GCA_003170575.1,FASTA,Protein,1945,646472,21,332.4,3107
GCA_003170595.1,FASTA,Protein,5375,1922102,21,357.6,3047
GCA_003170655.1,FASTA,Protein,3002,817341,20,272.3,1964
GCA_003170825.1,FASTA,Protein,3103,1011345,21,325.9,6167
GCA_003170875.1,FASTA,Protein,3163,882250,20,278.9,2547
GCA_003170915.1,FASTA,Protein,4813,1525593,23,317,2052
GCA_003170995.1,FASTA,Protein,2015,554656,21,275.3,2643
GCA_003171035.1,FASTA,Protein,2752,868250,21,315.5,3857
GCA_003171065.1,FASTA,Protein,2804,878899,24,313.4,2749
GCA_003171215.1,FASTA,Protein,3780,1260495,20,333.5,2854
GCA_003171235.1,FASTA,Protein,3067,1016670,22,331.5,3435
GCA_003171255.1,FASTA,Protein,2317,756439,21,326.5,2886
GCA_003171315.1,FASTA,Protein,2961,939321,21,317.2,2088
GCA_003171335.1,FASTA,Protein,3252,1181865,23,363.4,5548
GCA_003172915.1,FASTA,Protein,4102,1286427,24,313.6,5831
GCA_003173855.1,FASTA,Protein,710,194814,31,274.4,1299
GCA_003173865.1,FASTA,Protein,1271,375329,25,295.3,3341
GCA_003173895.1,FASTA,Protein,1245,372392,27,299.1,3144
GCA_003173915.1,FASTA,Protein,1458,418954,20,287.3,1628
GCA_003173995.1,FASTA,Protein,1062,302781,21,285.1,2388
GCA_003174035.1,FASTA,Protein,998,334445,28,335.1,2378
GCA_003175695.1,FASTA,Protein,4342,1352506,20,311.5,3386
GCA_003175865.1,FASTA,Protein,3126,1063663,20,340.3,2397
GCA_003175915.1,FASTA,Protein,2818,913881,20,324.3,3399
GCA_003175935.1,FASTA,Protein,3932,1328706,22,337.9,3002
GCA_003175985.1,FASTA,Protein,6666,2318521,20,347.8,2770
GCA_003176035.1,FASTA,Protein,1809,568855,23,314.5,3148
GCA_003176045.1,FASTA,Protein,6308,2274037,20,360.5,6362
